ARTIST,TITLE,FORMAT,PRICE,GENRE,CAT NUMBER,COUNTRY,SLEEVE,MEDIA,LABEL,EXTRA INFO,SKU
CIVIC,FUTURE FORECAST,1LP, $	40.00 ,PUNK,FLT077,AUS,NEW,NEW,Flightless Records,ANTICIPATED 2021 STUDIO LP FROM MELBOURNE GARAGE PUNKS & FIRST ON FLIGHTLESS RECORDS!,VY14237
CLAIRO,SLING,1LP, $	60.00 ,POP,B003391201,USA,NEW,NEW,Fader Label,NEW 2021 STUDIO RELEASE FROM THE U.S. BEDROOM POP ARTIST: BLACK VINYL PRESSING,VY14704
CLARK SPRINGS,TALKING KENT STATE,"7""", $	8.00 ,ALTERNATIVE,SHINE017,AUS,EX,EX,Summer Camp Records,1992 SINGLE FROM UK BAND,V82700
"CLASH, THE",COMBAT ROCK + THE PEOPLE'S HALL,3LP, $	90.00 ,PUNK,19439955131,EU,NEW,NEW,Columbia Records,2022 SPECIAL EDITION 3LP EXPANDED EDITION OF THEIR 5th STUDIO ALBUM FROM 1982,VX374
"CLASH, THE",IF MUSIC COULD TALK: RSD 2021,2LP, $	40.00 ,PUNK,19439844171,EU,NEW,NEW,Columbia Records,RSD 2021 RELEASE OF THE PROMO ONLY RELEASE OF THE 1980 INTERVIEW: LIMITED TO 3600 COPIES,VZ5553
CLASSIXX,HANGING GARDENS,2LP, $	30.00 ,ALTERNATIVE,IL2013,USA,VG+,EX,Innovative Leisure,2013 DEBUT ALBUM FROM THE L.A. ELECTRONIC DUO: 2xLP PRESS IN DIE-CUT SLEEVE,VT2699
CLAUD,SUPER MONSTER: COLOUR,1LP, $	30.00 ,ALTERNATIVE,SAD001LP-C1,USA,NEW,NEW,Saddest Factory Records,2021 DEBUT ALBUM FROM THE CHICAGO BEDROOM-POP ARTIST & 1st RELEASE ON PHOEBE BRIDGERS NEW LABEL: LTD GREEN/BLUE PRESS,VY14015
CLAUDIA PHILLIPS & THE KICKS,QUEL SOUCI LA BOETIE,"12""", $	15.00 ,ELETRONICA,8877161,AUS,VG,VG,Barclay Music,"RARE SYNTH-POP 12"" SINGLE",VP1026
"CLEAN, THE",UNKNOWN COUNTRY: REISSUE,1LP, $	35.00 ,ALTERNATIVE,MRG739,USA,NEW,NEW,Merge Records,2021 MERGE RECORDS REPRESS OF THEIR 1996 STUDIO ALBUM,VY13895
"CLEAN, THE",MISTER POP: REISSUE,1LP, $	35.00 ,ALTERNATIVE,MRG325,USA,NEW,NEW,Merge Records,2021 MERGE RECORDS REPRESS OF THEIR 2009 STUDIO ALBUM,VY13896
CLIFFORD T. WARD,MANTLE PIECES,1LP, $	15.00 ,ROCK,6369948,NZ,VG+,VG+,Charisma Records,SCARCE CHARISMA RECORDS N.Z. PRESS OF THE 1974 SOLO LP,VS13170
CLIMAX BLUES BAND,REAL TO REEL,1LP, $	10.00 ,BLUES,BSK3334,AUS,VG+,VG+,Warner Bros. Records,OZ WARNER BROS. GATEFOLD PRESS OF THE 1979 STUDIO ALBUM,VS3812
CLIMAX BLUES BAND,GOLD PLATED,1LP, $	10.00 ,BLUES,VPL14036,AUS,VG,VG+,RCA Records,OZ GATEFOLD PRESS OF THE 1976 LP (peelin across laminated sleeve),VS20751
CLINT MANSELL & KRONOS QUARTET,REQUIEM FOR A DREAM: REMASTER,2LP, $	55.00 ,SOUNDTRACK,7559794729,USA,NEW,NEW,Nonesuch Records,2020 & 20th ANNIVERSARY REMASTER OF THE CLASSIC MANSELL+KRONOS QUARTET SOUNDTRACK,VZ5577
CLIPPING.,WRIGGLE (EXPANDED): COLOUR,1LP, $	40.00 ,HIP HOP,SP1425X,USA,NEW,NEW,Sub Pop Records,INDIE EXCLUSIVE TURQUOISE SWIRL: 2021 EDITION OF THE 2016 E.P.,VY14498
CLOUD NOTHINGS,ATTACK ON MEMORY,1LP, $	28.00 ,ALTERNATIVE,CAK70,USA,NEW,NEW,Carpark Records,ACCLAIMED 2012 SOPHOMORE LP PRODUCED BY STEVE ALBINI,VY2415
CLOUD NOTHINGS,CLOUD NOTHINGS,1LP, $	28.00 ,ALTERNATIVE,CAK57,USA,NEW,NEW,Carpark Records,2011 DEBUT ALBUM FROM THE CLEVELAND PUNKS + D/L CODE,VY2747
CLOUD NOTHINGS,TURNING ON: REISSUE,1LP, $	28.00 ,ALTERNATIVE,CAK055LP,USA,NEW,NEW,Carpark Records,2021 CARPARK RECORDS REPRESS OF THE BAND'S 2009 DEBUT ALBUM,VY14021
CLOUD NOTHINGS,THE SHADOW I REMEMBER,1LP, $	28.00 ,ALTERNATIVE,CAK149LP,USA,NEW,NEW,Carpark Records,NEW 2021 STUDIO RELEASE FROM THE PROLIFIC INDIE ROCK BAND: SPECTRAL LIGHT WHIRL COLOUR PRESS,VY14022
CLOWN ALLEY,CIRCUS OF CHAOS,1LP, $	20.00 ,PUNK,VM101,UK,VG+,VG+,Alchemy Records,SOLE 1986 ALBUM FROM THE SAN FRAN HARDCORE BAND: ORIG. UK PRESS,VS17055
CLOWNS,I'M NOT RIGHT,1LP, $	30.00 ,PUNK,PCR072LP,AUS,NEW,NEW,Poison City Records,2013 DEBUT LP FROM THE MELBOURNE PUNKS: POISON CITY RECORDS 1st PRESS ON RED VINYL,VS7251
CLOWNS,BAD BLOOD: COLOUR,1LP, $	30.00 ,PUNK,PCR102LP,AUS,EX,EX,Poison City Records,"POISON CITY COLOUR VINYL 3rd PRESS OF THE 2015 ALBUM ON ""STOMACH BILE"" YELLOW VINYL",VS18079
CLOWNS,I'M NOT RIGHT,1LP, $	38.00 ,PUNK,PCR072LP,USA,NEW,NEW,Poison City Records,2013 DEBUT FROM MELB PUNK BAND ON POISON CITY: 2022 DEEP BLUE COLOUR PRESS,VY3457
CLOWNS,BAD BLOOD,1LP, $	30.00 ,PUNK,PCR102LP,AUS,NEW,NEW,Poison City Records,"2015 STUDIO LP FROM THE MELB PUNKS: POISON CITY ""RED WINE"" COLOUR RE-PRESS",VY5053
CLOWNS,LUCID AGAIN,1LP, $	30.00 ,PUNK,PCR135LP,AUS,NEW,NEW,Poison City Records,2017 STUDIO ALBUM FROM THE MELB PUNK BAND: BLACK VINYL + D/L CODE,VY8166
CLUB WELD,REMIX THE HOUSE,1LP, $	20.00 ,ALTERNATIVE,ICE001,AUS,NEW,NEW,Self Released / Independent,2018 LP FROM CLUB WELD @ I.C.E. PARRAMATTA FEAT. MUSICIANS ON THE AUTISM SPECTRUM,VY10753
CLUSTER,JAPAN LIVE,1LP, $	38.00 ,PROG ROCK,BB174LP,EU,NEW,NEW,Bureau B Records,2015 1st TIME VINYL PRESS OF THE LIVE 1996 RECORDING,VY14952
CLUSTER,USA LIVE,1LP, $	38.00 ,PROG ROCK,BB173LP,EU,NEW,NEW,Bureau B Records,2015 1st TIME VINYL PRESS OF THE 1997 LIVE RECORDINGS,VY14953
CODE ORANGE,UNDERNEATH: COLOUR,1LP, $	50.00 ,PUNK,643354,USA,NEW,NEW,Roadrunner Records,"2020 STUDIO ALBUM FROM U.S. HARDCORE BAND: 2nd PRESS, TRANSPARENT BLUE SPLATTER, LTD/1000",VY14014
COERCE,GENOME,"10""", $	10.00 ,PUNK,CGC016,AUS,NEW,NEW,Capital Games Records,EXCELLENT 2012 4-TRACK EP: GREEN/BLACK VINYL LTD/250,VE4
COFFINS,BEYOND THE CIRCULAR DEMISE,1LP, $	30.00 ,METAL,RR74401,USA,NEW,NEW,Relapse Records,2019 RELEASE & 5th STUDIO ALBUM ALBUM FROM THE JAPANESE BAND: RELAPSE RECORDS BLACK VINYL PRESS,VY12099
COIL,THEME FROM THE GAY MAN’S GUIDE TO SAFER,1LP, $	55.00 ,ALTERNATIVE,MPD018BLACK,EU,NEW,NEW,Musique Pour La Danse,2022 BLACK VINYL REPRESS OF THE UNRELEASED VHS-ONLY SOUNDTRACK FROM 1992,VY15951
COLD CHISEL,THE LIVE TAPES: VOL. 5,3LP, $	80.00 ,ROCK,CC019LP,AUS,NEW,NEW,Cold Chisel Pty Ltd,"LIVE AT THE BONDI LIFESAVER FEBRUARY 29, 1980: LIMITED 3LP SET ON 180-GRAM VINYL",VX274
COLD CHISEL,RINGSIDE,3LP, $	90.00 ,ALTERNATIVE,CC011LP,AUS,NEW,NEW,,2021 3LP 180gm BLACK RELEASE: LIVE @ THE HORDEN PAVILLION IN 2003,VX346
COLD CHISEL,BLOOD MOON,1LP, $	38.00 ,ROCK,CC018LP,AUS,NEW,NEW,Cold Chisel Pty Ltd,2020 COLOUR VINYL PRESS OF THE NEW 2019 STUDIO ALBUM,VY12116
COLD CHISEL,ALL FOR YOU: THE BEST OF COLD CHISEL,2LP, $	45.00 ,ROCK,CCCLP003,AUS,NEW,NEW,Cold Chisel Pty Ltd,2018 1st TIME 2xLP 180GRAM VINYL PRESS OF THE CLASSIC 26-TRACK CHISEL COMPILATION,VZ3858
COLD FISH,COLD FISH,"7""", $	12.00 ,PUNK,TCR11,AUS,NEW,NEW,Tropical Cancer Rort,"2018 4-TRACK 7"" E.P. FROM THE NOISY BRISBANE PUNKS",V71501
COLDPLAY,A RUSH OF BLOOD TO THE HEAD,1LP, $	40.00 ,ROCK,2435405041,EU,NEW,NEW,Parlophone,"2nd STUDIO ALBUM FROM 2002 FEAT. ""IN MY PLACE"" & ""THE SCIENTIST"": EU GATEFOLD REISSUE",VY679
COLDPLAY,MUSIC OF THE SPHERES: COLOUR,1LP, $	50.00 ,ROCK,9029666696,EU,NEW,NEW,Parlophone,BRAND NEW 2021 STUDIO ALBUM: RECYCLED COLOUR PRESS IN DIE-CUT JACKET,VY14909
COLEMAN HAWKINS,THE HAWK FLIES HIGH: REISSUE,1LP, $	30.00 ,JAZZ,OJC027,USA,M-,M-,Original Jazz Classics,ORIGINAL JAZZ CLASSICS REPRESS OF THE 1957 RELEASE ON RIVERSIDE RECORDS,VS20710
COLIN HAY,NOW & THE EVERMORE (SILVER),1LP, $	55.00 ,ROCK,COMP47791,USA,NEW,NEW,Compass Records,NEW 2022 STUDIO RELEASE FROM THE MEN AT WORK FRONTMAN: LIMITED SILVER VINYL PRESSING,VY15874
"COLLECTION, THE",FIRST OFFERING,1LP, $	10.00 ,JAZZ,JCWM0012,AUS,VG+,VG+,Jam Recordings,RARE 1976 AUSTRALIAN CABARET RELEASE: Signed on front & back cover!,VS17647
COLLECTIVE SOUL,COLLECTIVE SOUL: REISSUE,1LP, $	40.00 ,ROCK,CR00290,USA,NEW,NEW,Craft Recordings,2020/25th ANNIVERSARY REMASTER & 1st TIME VINYL PRESSING OF THE TRIPLE-PLATINUM 2nd ALBUM FROM 1995,VY13084
COLLEEN HEWETT,COLLEEN HEWETT HITS,1LP, $	10.00 ,POP,SRA250181,AUS,VG+,EX,Summit Records,SUMMIT RECORDS COMP. FROM THE OZ POP SINGER,VS12444
COMA REGALIA / LAEIRS,SPLIT,"7""", $	5.00 ,PUNK,MMR18,USA,EX,EX,Middle Man Records,"2012 HARDCORE SPLIT 7"" - WHITE VINYL + DIE-CUT SLEEVE",V81016
COME,PEEL SESSIONS,1LP, $	48.00 ,ALTERNATIVE,FIRELP641,UK,NEW,NEW,Fire Records,NEW 2022 FIRE RECORDS COLLECTION FEAT. TWO BBC SESSIONS RECORDINGS FROM 1992-1993,VY15572
COME,DON'T ASK DON'T TELL: EXPANDED,2LP, $	55.00 ,ALTERNATIVE,FIRE625,USA,NEW,NEW,Fire Records,2021 EXPANDED EDITION OF THE 2nd ALBUM FROM 1994 BY THE AMERICAN INDIE ROCK BAND: 2LP & DL CARD,VZ5661
"COMET IS COMING, THE",IMMINENT: RSDBF 2020,"12""", $	10.00 ,JAZZ,B003174201,USA,NEW,NEW,Impulse! Recordings,"2020 RSD BLACK FRIDAY 12"" SINGLE w/ NEW TRACK & REMIX: LIMITED TO 2500 COPIES",VO563
COMETS,RAIN FACES,1LP, $	25.00 ,ALTERNATIVE,MLT001LP,AUS,NEW,NEW,Melted Ice Cream,2021 DEBUT LP FROM MELBOURNE INSTRUMENTAL-JAM BAND FEAT. EX-MEMBERS OF TWERPS & ECSR,VY14925
CONCRETE BLONDE,GOD IS A BULLET,"7""", $	10.00 ,ROCK,LS2070,AUS,VG+,VG+,IRS Records,"OZ PIC SLEEVE 7"" SINGLE FROM 1989 ON I.R.S. RECORDS",V82569
CONCRETE LAWN,AGGREGATE,1LP, $	20.00 ,PUNK,URGELP01,AUS,EX,EX,Urge Records,2020 DEBUT LP FROM SYDNEY PUNKS ON URGE RECORDS: RECORDED BY JONO BOULET,VS20924
CONCRETE LAWN,AGGREGATE,1LP, $	30.00 ,PUNK,URGELP01,AUS,NEW,NEW,Urge Records,ANTICIPATED 2020 DEBUT LP FROM SYDNEY PUNKS ON URGE RECORDS: RECORDED BY JONO BOULET,VY12585
CONNAN MOCKASIN & ADE,IT'S JUST WIND: RSD 2022,1LP, $	48.00 ,ALTERNATIVE,MEX261LPE,USA,NEW,NEW,Mexican Summer Records,RSD 2022 & 1st TIME VINYL PRESS OF THE 2018 PROJECT: LIMITED TO 3000 COPIES,VY16000
CONOR OBERST,RUMINATIONS (EXPANDED EDITION): RSD 2021,2LP, $	40.00 ,ALTERNATIVE,1653705,USA,NEW,NEW,Nonesuch Records,RSD 2021 2xLP EXPANDED EDITION w/ UNRELEASED TRACKS: LIMITED TO 4000 COPIES,VZ5497
CONTRAST,SIDEWALK,"7""", $	5.00 ,ALTERNATIVE,MWN021,AUS,NEW,NEW,Moontown Records,"2015 7"" SINGLE ON MOONTOWN RECORDS",V71224
CONVERGE,YOU FAIL ME: REDUX,1LP, $	55.00 ,PUNK,DW189,USA,NEW,NEW,Deathwish Music,2016 REMASTERED EDITION ON COLOUR VINYL+SLIPCASE OF THE 2004 MASTERPIECE,VY6716
COREY TAYLOR,CMFT,1LP, $	60.00 ,METAL,7567864712,EU,NEW,NEW,Roadrunner Records,HIGHLY ANTICIPATED DEBUT SOLO STUDIO ALBUM FROM THE SLIPKNOT VOCALIST: LIMITED EDITION AUTOGRAPHED COPY!,VY13534
COREY TAYLOR / DEAD BOYS,ALL THIS AND MORE (SIDE BY SIDE): RSDBF,"12""", $	10.00 ,METAL,86469,CAN,NEW,NEW,Roadrunner Records,"2020 RSD BLACK FRIDAY SIDE BY SIDE HOT PINK 12"" SINGLE: LIMITED TO 4000 COPIES",VO570
CORIKY,CORIKY,1LP, $	38.00 ,PUNK,DIS190V,USA,NEW,NEW,Dischord Records,"2020 DEBUT LP FROM MINOR THREAT, FUGAZI & THE EVENS MEMBERS JOE LALLY, IAN MACKAYE & AMY FARINA!",VY12414
CORPUS / SAIL ON! SAIL ON!,SPLIT,"7""", $	5.00 ,ALTERNATIVE,NONE,AUS,NEW,NEW,Self Released / Independent,"NEW 2013 SPLIT 7"" SINGLE: BLACK VINYL PRESS",V7783
COSMIC PSYCHOS,LOUDMOUTH SOUP,1LP, $	30.00 ,ROCK,GTH001,AUS,NEW,NEW,Go The Hack Records,2018/11th STUDIO ALBUM ON THEIR OWN LABEL: GO THE HACK RECORDS,VY9631
COSMIC PSYCHOS,MOUNTAIN OF PISS: WHITE,1LP, $	50.00 ,PUNK,GTH005LPA,AUS,NEW,NEW,Go The Hack Records,NEW 2021 STUDIO ALBUM FROM THE AUSTRALIAN PUNK LEGENDS: LIMITED WHITE VINYL PRESS,VY14694
COSMIC PSYCHOS,MOUNTAIN OF PISS: POWDER PINK,1LP, $	50.00 ,PUNK,GTH005LPC,AUS,NEW,NEW,Go The Hack Records,NEW 2021 ALBUM: LTD. POWDER PINK PRESSING,VY15487
"COUNTDOWNS, THE",ENTERTAINMENT FROM SCOOCH POOCH,"7""", $	10.00 ,ALTERNATIVE,P029,USA,VG+,EX,Scooch Pooch,RARE 1997 SINGLE FROM THE L.A. ROCK & ROLL BAND,V83668
COUNTRY JOE MCDONALD,LOVE IS A FIRE,1LP, $	5.00 ,ROCK,L35992,AUS,VG+,EX,Fantasy Records,FANTASY RECORDS OZ PRESS OF THE 1976 LP,VS19325
COURT YARD HOUNDS / JAKOB DYLAN,SEE YOU IN THE SPRING / EVERYBODY'S HURT,"7""", $	10.00 ,COUNTRY,675397S1,USA,VG+,VG+,Columbia Records,"2010 RECORD STORE DAY SPLIT 7"" SINGLE RELEASE",V83714
COURTNEY BARNETT,BOXING DAY BLUES (REVISITED),"7""", $	10.00 ,ALTERNATIVE,TMR321,USA,EX,EX,Third Man Records,"2015 THIRD MAN RECORDS BLUE SERIES 7"" SINGLE (BLACK VINYL)",V83516
COURTNEY BARNETT,NOBODY REALLY CARES IF YOU DON'T GO TO T,"7""", $	30.00 ,ALTERNATIVE,HA0052V,AUS,VG+,EX,Milk! Records,"LIMITED EDITION 1-SIDED 7"" SINGLE FROM 2015 w/ ETCHED B-SIDE (COMES WITH STICKERS)",V83659
COURTNEY BARNETT,"THINGS TAKE TIME, TAKE TIME: COLOUR",1LP, $	40.00 ,ALTERNATIVE,MILK064LPT,AUS,NEW,NEW,Milk! Records,ANTICIPATED NEW 2021 STUDIO ALBUM FROM THE MELBOURNE SONGWRITER: LIMITED BLUE VINYL PRESS,VY14712
COURTNEY BARNETT / BLANK REALM,SPLIT SINGLES CLUB,"7""", $	50.00 ,ALTERNATIVE,SSC6,AUS,EX,EX,Milk! Records,OUT OF PRINT 2017 SPLIT SINGLE SERIES RELEASE VIA MILK! RECORDS & BEDROOM SUCK RECORDS,V83365
COURTNEY MARIE ANDREWS,OLD FLOWERS: COLOUR,1LP, $	42.00 ,COUNTRY,FP17414,USA,NEW,NEW,Fat Possum Records,"2020 STUDIO RELEASE FROM PHOENIX, AZ AMERICANA SONGWRITER: LIMITED BLUE PRESS",VY12895
CRADLE,THE HISTORY,2LP, $	30.00 ,ROCK,MH8209,USA,EX,EX,Modern Harmonic,2020 1st TIME VINYL ISSUE OF THE RARE EARLY 70's RECORDINGS FROM THE QUATRO SISTERS: 2xLP PURPLE COLOUR PRESS,VT2989
CRADLE OF FILTH,EXISTENCE IS FUTILE: COLOUR,2LP, $	60.00 ,METAL,54161,EU,NEW,NEW,Nuclear Blast,LIMITED GLOW-IN-THE-DARK 2xLP PRESS OF THE NEW 2021 STUDIO ALBUM: 700 COPIES ONLY!,VZ6078
"CRANBERRIES, THE",STARS: THE BEST OF 1992-2002,2LP, $	60.00 ,ROCK,5393229,EU,NEW,NEW,Island Records,2022 BLACK VINYL 2LP REPRESS OF THE 2002 COMPILATION,VZ6005
"CRANBERRIES, THE",REMEMBERING DOLORES: RSD 2022,2LP, $	65.00 ,ROCK,4524845,EU,NEW,NEW,UMC / Universal Music,RSD 2022 VINYL PRESS OF THE 2021 COMPILATION: LIMITED TO 5000 COPIES,VZ6125
CRANE GAMES,FORECAST,"7""", $	12.00 ,ALTERNATIVE,CR001,AUS,NEW,NEW,Self Released / Independent,"2018 DEBUT 7"" E.P. FROM SYDNEY GROUP",V71424
CRANES,EP COLLECTION VOLUMES 1 & 2: RSDBF 2021,3LP, $	80.00 ,ALTERNATIVE,MOVLP2762C,EU,NEW,NEW,Music On Vinyl,2021 RSD BLACK FRIDAY 1st TIME PRESS OF THE EP COLLECTION: LIMITED TO 1500 COPIES,VX345
CRASHLAND,BOOM BOOM / ON TV,"7""", $	10.00 ,ALTERNATIVE,K1096,AUS,VG+,VG+,Regular Records,SCARCE 1990 AUS SINGLE ON REGULAR RECORDS w/ PROMO STICKER ON SLEEVE,V82832
CRASS,TEN NOTES ON A SUMMER'S DAY: REISSUE,"12""", $	40.00 ,PUNK,CATNO6R,USA,NEW,NEW,Crass Records,2019 ABBEY ROAD REMASTER OF THE 1985 EP,VO468
CRASS,PENIS ENVY: REISSUE,1LP, $	38.00 ,PUNK,3219841R,USA,NEW,NEW,Crass Records,2019 ABBEY ROAD REMASTER OF THE 3rd ALBUM FROM 1981,VY11885
CRASS,"YES SIR, I WILL: REISSUE",1LP, $	42.00 ,PUNK,1219841R,USA,NEW,NEW,Crass Records,2019 ABBEY ROAD REMASTER OF THE 5th ALBUM FROM 1983,VY11902
CRASS,THE FEEDING OF THE 5000 (THE SECOND SITT,1LP, $	48.00 ,PUNK,621984R,USA,NEW,NEW,Crass Records,2019 ALEX GORDON ABBEY ROAD REMASTER OF THE 1979 DEBUT STUDIO ALBUM,VY12220
CRASS,STATIONS OF THE CRASS: REISSUE,2LP, $	48.00 ,PUNK,521984R,USA,NEW,NEW,Crass Records,2019 ALEX GORDON/ABBEY ROAD REMASTER OF THE 2nd ALBUM FROM 1979,VZ4408
CRAVEN IDOL,THE SHACKLES OF MAMMON,1LP, $	35.00 ,METAL,DDR171LP,USA,NEW,NEW,Dark Descent Records,2017 STUDIO ALBUM FROM LONDON BLACK/DEATH METAL BAND: ORANGE/BLACK MERGE PRESS w/ POSTER,VY13039
CREAM,WHITE ROOM,"7""", $	8.00 ,ROCK,NH59148,AUS,G,VG,Polydor Records,RARE AUS POLYDOR PLAIN SLEEVE 1968 SINGLE b/w 'Those Were The Days',V83726
CREEDENCE CLEARWATER REVIVAL,PENDULUM: REISSUE: VMP,1LP, $	40.00 ,ROCK,CR00129V,USA,EX,EX,Craft Recordings,"2021 LIMITED EDITION ""VINYL ME, PLEASE"" GOLD 180-GRAM GATEFOLD PRESS LTD/1,000 COPIES",VS20564
CREEDENCE CLEARWATER REVIVAL,WILLY AND THE POOR BOYS: REMASTER,1LP, $	40.00 ,ROCK,CR00127,EU,EX,EX,Craft Recordings,2019 & 50th CCR ANNIVERSARY HALF-SPEED REMASTER OF THE CLASSIC 1969 STUDIO ALBUM,VS21047
CREEDENCE CLEARWATER REVIVAL,GREEN RIVER: REISSUE,1LP, $	50.00 ,ROCK,CR00126,EU,NEW,NEW,Craft Recordings,2019 & 50th ANNIVERSARY HALF-SPEED REMASTER OF THE CLASSIC 1969 STUDIO ALBUM,VY12929
CREEDENCE CLEARWATER REVIVAL,MARDI GRAS: REISSUE,1LP, $	50.00 ,ROCK,CR00130,USA,NEW,NEW,Craft Recordings,2021/50th ANNIVERSARY HALF-SPEED REMASTER OF THE FINAL & 1972 STUDIO ALBUM,VY14225
CREEDENCE CLEARWATER REVIVAL,PENDULUM: REISSUE,1LP, $	50.00 ,ROCK,CR00129,USA,NEW,NEW,Craft Recordings,2021/50th ANNIVERSARY HALF-SPEED REMASTER OF THE CLASSIC 1970 STUDIO ALBUM,VY14226
CREEDENCE CLEARWATER REVIVAL,PENDULUM: REISSUE COLOUR,1LP, $	35.00 ,ROCK,7235879,EU,NEW,NEW,Concord Music,2020/50th ANNIVERSARY LIMITED EDITION BLUE VINYL REISSUE OF THE CLASSIC 1970 STUDIO ALBUM,VY15394
"CRICKETS, THE",RARE ITEMS: 1959-1960,1LP, $	20.00 ,ROCK,COPS7335,USA,VG+,EX,MCA Records,1974 COMPILATION FEAT. 10 RARITIES & OUTTAKES,VS20077
CRIME,MURDER BY GUITAR,1LP, $	40.00 ,PUNK,SV050,USA,NEW,NEW,Superior Viaduct,70's SAN-FRAN PUNK! SUPERIOR VIADUCT ANTHOLOGY LP FEAT. THEIR ORIGINAL 3 SINGLES + BONUS TRACKS & DL CODE,VY8307
CRISIS ALERT,CRISIS ALERT,"7""", $	10.00 ,PUNK,RES110,AUS,EX,VG+,Resist Records,"2012 DEBUT 7"" FROM THE ADELAIDE BAND: RESIST RECORDS BLACK PRESS",V83163
CRISIS ALERT,URBAN DECAY,1LP, $	25.00 ,PUNK,RES125,AUS,EX,EX,Resist Records,2013 DEBUT FROM THE ADELAIDE HC BAND: LIMITED WHITE VINYL PRESS (100 COPIES),VS17121
CROCODILES,SUMMER OF HATE,1LP, $	20.00 ,ALTERNATIVE,FP11331,USA,EX,EX,Fat Possum Records,"'09 DEBUT FROM EX-""PLOT TO BLOW UP THE EIFFEL TOWER"" DUO: FAT POSSUM U.S. PRESS",VS17942
CRO-MAGS,THE AGE OF QUARREL: REISSUE,1LP, $	60.00 ,PUNK,BFD2881,USA,NEW,NEW,Profile Records,2022 REPRESS OF THE MUCH-LOVED 1986 HARDCORE ALBUM,VY15749
CROSBY & NASH,WIND ON THE WATER: RSDBF 2021,1LP, $	50.00 ,ROCK,RMLP8197LE,UK,NEW,NEW,Reel Music,2021 RSD BLACK FRIDAY REMASTER OF THE 2nd ALBUM FROM THE DUO: ORANGE VINYL PRESS,VY15305
"CROSBY, STILLS, NASH & YOUNG",DEJA VU: 50th ANNIVERSARY,LP BOX, $	180.00 ,ROCK,6252381,USA,NEW,NEW,Atlantic Records,"LIMITED EDITION 2021 EXPANSIVE 1LP, 4CD & BOOK SET OF THE SUPERB COLLABORATION",VB576
CROSS COUNTRY,IN THE MIDNIGHT HOUR,1LP, $	15.00 ,ROCK,SD7024,AUS,VG+,VG+,Atlantic Records,ATLANTIC RECORDS OZ GATEFOLD PRESS OF THE LONE '73 LP FROM U.S. FOLK-ROCK GROUP,VS18092
CROWDED HOUSE,AFTERGLOW: REISSUE,1LP, $	35.00 ,ROCK,4788022,EU,NEW,NEW,Capitol Records,180-GRAM EU IMPORT 2016 VINYL RE-ISSUE OF THE 1999 RARITIES COMPILATION,VY7276
CRUCIFIX,CRUCIFIX,"12""", $	10.00 ,PUNK,KUS2EP,USA,NEW,NEW,Kustomized Records,"2018 RE-ISSUE OF THE CLASSIC 1981 DEBUT 12"" EP",VO250
CRUCIFIX,DEHUMANIZATION: REISSUE,1LP, $	40.00 ,PUNK,KUS04LP,USA,NEW,NEW,Kustomized Records,2021 U.S. VINYL REMASTER OF THE CLASSIC 1983 HARDCORE ALBUM,VY14099
CRUCIFORM,ATAVISM / PARADOX,1LP, $	40.00 ,METAL,CRYPT107,USA,NEW,NEW,The Crypt,2020 & 1st TIME VINYL PRESSING OF THE 1993 ALBUM & 1995 EP FROM THE AUSSIE DEATH METAL BAND: BLACK VINYL PRESS LTD/100,VY13631
CRUCIFORM,ATAVISM / PARADOX: RED,1LP, $	30.00 ,METAL,CRYPT107-B1,USA,NEW,NEW,The Crypt,2020 & 1st TIME VINYL PRESSING OF THE 1993 ALBUM & 1995 EP FROM THE AUSSIE DEATH METAL BAND: RED VINYL PRESS LTD/100,VY13632
CRUCIFORM,ATAVISM / PARADOX: BLUE,1LP, $	40.00 ,METAL,CRYPT107-B2,USA,NEW,NEW,The Crypt,2020 & 1st TIME VINYL PRESSING OF THE 1993 ALBUM & 1995 EP FROM THE AUSSIE DEATH METAL BAND: BLUE VINYL PRESS LTD/100,VY13633
CRUEL HAND,CRUEL HAND,"7""", $	10.00 ,PUNK,B9R135,USA,EX,EX,Bridge Nine Records,2010 RELEASE ON BRIDGE 9: 1st PRESS GREEN/300,V8485
"CRUSADERS, THE",ROYAL JAM,2LP, $	20.00 ,JAZZ,MCA28017,USA,VG,EX,MCA Records,1982 LIVE RECORDINGS w/ BB KING & ORCHESTRA: MCA RECORDS 2xLP U.S. GATEFOLD PRESS,VT3040
"CRY, THE",DESERT CHILD / WALKING,"7""", $	20.00 ,NEW-WAVE,SMX59449,AUS,VG+,VG+,Self Released / Independent,RARE LONE 1982 SINGLE FROM THE AUSTRALIAN NEW-WAVE BAND,V83689
CRYPTWORM,REEKING GUNK OF ABHORRENCE,"12""", $	32.00 ,METAL,MSUO120,UK,NEW,NEW,Me Saco Un Ojo Records,NEW 2020 MINI-ALBUM FROM THE BRITISH DEATH METAL BAND,VO567
CULT OF LUNA,ETERNAL KINGDOM: REISSUE,2LP, $	40.00 ,METAL,MOSH359LPUS,EU,NEW,NEW,Earache Records,2017 2xLP GATEFOLD REISSUE w/ UPDATED ARTWORK OF THE 2008 STUDIO ALBUM,VZ3393
CULT OF LUNA,THE BEYOND,2LP, $	42.00 ,METAL,MOSH263LPUS,EU,NEW,NEW,Earache Records,2018 2LP REMASTER OF THE 2002 STUDIO RELEASE FROM THE SWEDISH GROUP,VZ4422
